File: hasher.test
Type: alloc_space
Time: May 2, 2024 at 11:49pm (MSK)
Showing nodes accounting for -106.53MB, 34.86% of 305.57MB total
Dropped 36 nodes (cum <= 1.53MB)
      flat  flat%   sum%        cum   cum%
         0     0% 34.86%    -4.50MB  1.47%  net/http.Header.Add (inline)
         0     0% 34.86%     7.50MB  2.45%  net/http.Header.Set (inline)
         0     0% 34.86%     4.50MB  1.47%  net/http.NewRequest (inline)
         0     0% 34.86%     1.50MB  0.49%  net/http.cloneOrMakeHeader
         0     0% 34.86%     2.50MB  0.82%  net/http.send
         0     0% 34.86%     3.50MB  1.15%  net/http.serverHandler.ServeHTTP
         0     0% 34.86%    -0.53MB  0.17%  net/http/httptest.NewServer
         0     0% 34.86%    -0.53MB  0.17%  net/http/httptest.NewUnstartedServer (inline)
         0     0% 34.86%    -0.53MB  0.17%  net/http/httptest.newLocalListener
         0     0% 34.86%        5MB  1.64%  net/textproto.(*Reader).ReadMIMEHeader (inline)
         0     0% 34.86%        2MB  0.65%  net/textproto.CanonicalMIMEHeaderKey
         0     0% 34.86%        3MB  0.98%  net/url.ParseRequestURI
         0     0% 34.86%     0.52MB  0.17%  regexp.(*Regexp).MatchString (inline)
         0     0% 34.86%     0.52MB  0.17%  regexp.(*Regexp).backtrack
         0     0% 34.86%     0.52MB  0.17%  regexp.(*Regexp).doExecute
         0     0% 34.86%     0.52MB  0.17%  regexp.(*Regexp).doMatch (inline)
         0     0% 34.86%    -0.53MB  0.17%  sync.(*Once).Do (inline)
         0     0% 34.86%    -0.53MB  0.17%  sync.(*Once).doSlow
         0     0% 34.86%        1MB  0.33%  sync.(*Pool).Get
         0     0% 34.86%     -115MB 37.63%  testing.(*B).launch
         0     0% 34.86%     -115MB 37.63%  testing.(*B).runN
